perspective,impact category,"ReCiPe 2016 v1.03, midpoint (H), acidification: terrestrial, terrestrial acidification potential (TAP)","IPCC 2021, climate change, GWP 100a, incl. H and bio CO2","ReCiPe 2016 v1.03, midpoint (H), ecotoxicity: terrestrial, terrestrial ecotoxicity potential (TETP)","ReCiPe 2016 v1.03, midpoint (H), ecotoxicity: freshwater, freshwater ecotoxicity potential (FETP)","ReCiPe 2016 v1.03, midpoint (H), ecotoxicity: marine, marine ecotoxicity potential (METP)","ReCiPe 2016 v1.03, midpoint (H), eutrophication: freshwater, freshwater eutrophication potential (FEP)","ReCiPe 2016 v1.03, midpoint (H), human toxicity: carcinogenic, human toxicity potential (HTPc)","ReCiPe 2016 v1.03, midpoint (H), human toxicity: non-carcinogenic, human toxicity potential (HTPnc)","ReCiPe 2016 v1.03, midpoint (H), ionising radiation, ionising radiation potential (IRP)","ReCiPe 2016 v1.03, midpoint (H), land use, agricultural land occupation (LOP)","ReCiPe 2016 v1.03, midpoint (H), ozone depletion, ozone depletion potential (ODPinfinite)","ReCiPe 2016 v1.03, midpoint (H), particulate matter formation, particulate matter formation potential (PMFP)","ReCiPe 2016 v1.03, midpoint (H), photochemical oxidant formation: human health, photochemical oxidant formation potential: humans (HOFP)","ReCiPe 2016 v1.03, midpoint (H), photochemical oxidant formation: terrestrial ecosystems, photochemical oxidant formation potential: ecosystems (EOFP)","ReCiPe 2016 v1.03, midpoint (H), water use, water consumption potential (WCP)","EF v3.1, acidification, accumulated exceedance (AE)","EF v3.1, ecotoxicity: freshwater, comparative toxic unit for ecosystems (CTUe)","EF v3.1, eutrophication: freshwater, fraction of nutrients reaching freshwater end compartment (P)","ReCiPe 2016 v1.03, midpoint (H), eutrophication: marine, marine eutrophication potential (MEP)","EF v3.1, human toxicity: carcinogenic, comparative toxic unit for human (CTUh)","EF v3.1, human toxicity: non-carcinogenic, comparative toxic unit for human (CTUh)","Eco-costs, Material scarcity, VAR(95)","EF v3.1, ozone depletion, ozone depletion potential (ODP)","EDIP 2003, acidification, acidification","IMPACT 2002+ (Endpoint), ecosystem quality, aquatic ecotoxicity","IMPACT 2002+ (Endpoint), ecosystem quality, terrestrial ecotoxicity","EDIP 2003, eutrophication, combined potential","EDIP 2003, eutrophication, terrestrial eutrophication","IMPACT 2002+ (Endpoint), human health, human toxicity","IMPACT 2002+ (Endpoint), human health, ionising radiation","IMPACT 2002+ (Endpoint), ecosystem quality, land occupation","IMPACT 2002+ (Endpoint), resources, mineral extraction","IMPACT 2002+ (Endpoint), human health, ozone layer depletion","IMPACT 2002+ (Endpoint), human health, respiratory effects (inorganics)","EDIP 2003, photochemical ozone formation, impacts on human health","EDIP 2003, photochemical ozone formation, impacts on vegetation","CML v4.8 2016, acidification, acidification (incl. fate, average Europe total, A&B)","ReCiPe Midpoint (H) V1.13, terrestrial ecotoxicity, TETPinf","ReCiPe Midpoint (H) V1.13, freshwater ecotoxicity, FETPinf","ReCiPe Midpoint (H) V1.13, marine ecotoxicity, METPinf","CML v4.8 2016, eutrophication, eutrophication (fate not incl.)","CML v4.8 2016, energy resources: non-renewable, abiotic depletion potential (ADP): fossil fuels","ReCiPe Midpoint (H) V1.13, human toxicity, HTPinf","CML v4.8 2016, ozone depletion, ozone layer depletion (ODP steady state)","CML v4.8 2016, photochemical oxidant formation, photochemical oxidation (high NOx)"
damage costs,acidification,5.711842276171329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
damage costs,climate change,,0.0512303102929553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
damage costs,ecotoxicity,,,0.0006936582650378844,0.022652277717643412,0.0034682913251894223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
damage costs,eutrophication,,,,,,4.053565486315137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
damage costs,human toxicity,,,,,,,4.324525746095561,0.07695271377764029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
damage costs,ionizing radiation,,,,,,,,,0.00457380918509355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
damage costs,land use,,,,,,,,,,0.10730026287304775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
damage costs,ozone depletion,,,,,,,,,,,31.539774238441307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
damage costs,particulate matter formation,,,,,,,,,,,,107.51703108087209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
damage costs,photochemical oxidant formation,,,,,,,,,,,,,2.351935054894077,0.45087787227462484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
damage costs,water use,,,,,,,,,,,,,,,2.2711023980395586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prevention costs,acidification,,,,,,,,,,,,,,,,6.756052511815158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prevention costs,climate change,,0.11737209872221249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prevention costs,ecotoxicity,,,,,,,,,,,,,,,,,0.012691454577279887,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prevention costs,eutrophication,,,,,,,,,,,,,,,,,,14.619028881498336,15.444734807484146,,,,,,,,,,,,,,,,,,,,,,,,,,
prevention costs,human toxicity,,,,,,,,,,,,,,,,,,,,877905.128653947,206116.85629266582,,,,,,,,,,,,,,,,,,,,,,,,
prevention costs,land use,,,,,,,,,,0.13668053900449167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prevention costs,metal/mineral resources,,,,,,,,,,,,,,,,,,,,,,0.9542447050586381,,,,,,,,,,,,,,,,,,,,,,,
prevention costs,ozone depletion,,,,,,,,,,,,,,,,,,,,,,,114.50936460703657,,,,,,,,,,,,,,,,,,,,,,
prevention costs,particulate matter formation,,,,,,,,,,,,35.40247855767547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prevention costs,photochemical oxidant formation,,,,,,,,,,,,,5.410567477682478,5.410567477682478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prevention costs,water use,,,,,,,,,,,,,,,0.200391388062314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
budget constraint,acidification,,,,,,,,,,,,,,,,,,,,,,,,0.011072758606540561,,,,,,,,,,,,,,,,,,,,,
budget constraint,climate change,,0.11935570965491774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
budget constraint,ecotoxicity,,,,,,,,,,,,,,,,,,,,,,,,,2789.7599606089207,0.056514209511304425,,,,,,,,,,,,,,,,,,,
budget constraint,eutrophication,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14380205982520208,0.01869426777727627,,,,,,,,,,,,,,,,,
budget constraint,human toxicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983.6060892043823,,,,,,,,,,,,,,,,
budget constraint,ionizing radiation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9721019244183662,,,,,,,,,,,,,,,
budget constraint,land use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2358.3537811333144,,,,,,,,,,,,,,
budget constraint,metal/mineral resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874.3165237372287,,,,,,,,,,,,,
budget constraint,ozone depletion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.8020598252021,,,,,,,,,,,,
budget constraint,particulate matter formation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992.2342127938944,,,,,,,,,,,
budget constraint,photochemical oxidant formation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37388535554552543,0.0005320676213532477,,,,,,,,,
taxation costs,acidification,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.719854961832061,,,,,,,,
taxation costs,climate change,,0.09508345419847328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taxation costs,ecotoxicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.641202290076333,13.955977099236641,0.045759218874045805,,,,,
taxation costs,eutrophication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.313868320610687,,,,
taxation costs,fossil resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011146946564885496,,,
taxation costs,human toxicity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2262830152671756,,
taxation costs,ozone depletion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.58053435114505,
taxation costs,photochemical oxidant formation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.850333969465645
